"code_commune","nom_commune","departement","population","nb_cambriolages","taux_pour_mille"
"17003","Aigrefeuille-d'Aunis","17",4677,6,2.7154572
"17008","Andilly","17",2350,6,5.6168019
"17010","Angoulins","17",4240,12,4.9670198
"17021","Arvert","17",3917,16,6.5600656
"17026","Authon-Ébéon","17",410,0,0
"17028","Aytré","17",9746,18,3.0800821
"17029","Bagnizeau","17",177,0,0
"17031","Ballans","17",201,0,0
"17047","Biron","17",243,0,0
"17058","Bourcefranc-le-Chapus","17",3486,7,2.9682766
"17064","Breuillet","17",3058,25,13.1429835
"17067","Brie-sous-Matha","17",163,0,0
"17086","Chaniers","17",3651,17,9.0740644
"17093","Le Château-d'Oléron","17",4366,11,2.8584312
"17094","Châtelaillon-Plage","17",6653,34,5.9848272
"17097","Le Chay","17",840,0,0
"17117","Contré","17",135,0,0
"17118","Corignac","17",326,0,0
"17125","Courcelles","17",455,0,0
"17126","Courcerac","17",316,0,0
"17140","Dolus-d'Oléron","17",3199,41,8.3045879
"17141","Dompierre-sur-Charente","17",477,0,0
"17142","Dompierre-sur-Mer","17",6315,17,5.8138293
"17146","Échillais","17",3765,9,4.8509594
"17155","Étaules","17",2857,8,4.8369567
"17156","Expiremont","17",112,0,0
"17161","La Flotte","17",3150,7,2.0539906
"17168","Fouras","17",4148,25,5.4609
"17173","La Genétouze","17",217,0,0
"17177","Le Gicq","17",121,0,0
"17190","L'Houmeau","17",3000,16,9.9980756
"17194","La Jarrie","17",3458,5,3.0582932
"17197","Jonzac","17",3602,14,4.3961951
"17200","Lagord","17",7802,46,10.4545607
"17212","Louzignac","17",176,0,0
"17213","Lozay","17",165,0,0
"17215","Lussac","17",39,0,0
"17218","Marans","17",4476,12,4.7337278
"17219","Marennes",NA,6163,24,5.6245606
"17222","Marsilly","17",3176,7,4.3953043
"17225","Les Mathes","17",2180,9,1.7269875
"17228","Médis","17",3157,5,2.767334
"17230","Meschers-sur-Gironde","17",3180,51,14.0709339
"17231","Messac","17",102,0,0
"17240","Montendre","17",3222,19,9.2948039
"17246","Moragne","17",536,0,0
"17259","Neulles","17",165,0,0
"17264","Nieul-sur-Mer","17",5811,7,2.2942501
"17271","Paillé","17",326,0,0
"17274","Périgny","17",8877,36,7.9384575
"17276","Le Pin","17",71,0,0
"17281","Polignac","17",161,0,0
"17283","Pons","17",4343,13,4.8600283
"17291","Puilboreau","17",6765,30,8.6908282
"17297","Rivedoux-Plage","17",2483,15,6.9835652
"17299","Rochefort","17",23460,74,4.5912059
"17300","La Rochelle","17",79851,309,5.4778052
"17301","Romazières","17",90,0,0
"17306","Royan","17",19425,164,7.5487206
"17308","Saint-Agnant","17",2780,18,14.1395808
"17309","Saint-Aigulin","17",1878,7,5.8932311
"17311","Saint-Augustin","17",1521,6,5.1768766
"17323","Saint-Denis-d'Oléron","17",1358,10,3.3268551
